serial_number,name,year,act_number,section,page_number,source
92,Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act,2015,22,,2,table
93,Boilers Act,1923,5,,2,table
94,Bombay Civil Courts Act,1869,14,,2,table
95,Bombay Rent-free Estates Act,1852,11,,2,table
96,Bombay Reorganisation Act,1960,11,,2,table
48,Arya Marriage Validation Act,1937,19,,2,text
49,Asian Development Bank Act,1966,18,,2,text
77,Bharat Petroleum Corporation Limited (Determination of Conditions of,1988,44,,2,text
85,Bihar Land Reforms Laws (Regulating Mines and Minerals) Validation,1969,42,,2,text
90,Bird and Company Limited (Acquisition and Transfer of Undertakings,1980,67,,2,text
92,Black Money (Undisclosed Foreign Income and Assets) and Imposition,2015,22,,2,text
99,Border Security Force Act,1968,47,,3,table
100,"Bound ary-marks, Bombay",1846,3,,3,table
101,Brahm aputra Board Act,1980,46,,3,table
102,Britan nia Engineering Company Limited (Mokameh Unit) and the Arthur Butler and Company (Muzaffarpore) Limited (Acquisition And Transfer of Undertakings) Act,1978,41,,3,table
103,British India Corporation Limited (Acquisition of Shares) Act,1981,29,,3,table
104,Broach and Kaira Incumbered Estates Act,1877,14,,3,table
105,Buildi ng and Other Construction Workers (Regulation of Employment and Conditions of Service) Act,1996,27,,3,table
106,Buildi ng and Other Construction Workers' Welfare Cess Act,1996,28,,3,table
107,Bureau of Indian Standards Act,2016,11,,3,table
108,Cable Television Networks (Regulation) Act,1995,7,C,3,table
109,Calcut ta High Court (Extension of Jurisdiction) Act,1953,41,,3,table
110,Calcut ta High Court (Jurisdictional Limits) Act,1919,15,,3,table
111,Calcut ta Land-revenue Act,1856,18,,3,table
112,Calcut ta Metro Railway (Operation and Maintenance) Temporary Provisions Act,1985,10,,3,table
113,Calcut ta Port (Pilotage) Act,1948,33,,3,table
114,Canton ments (Extension of Rent Control Laws) Act,1957,46,,3,table
115,Canton ments Act,2006,41,,3,table
116,Cardam om Act,1965,42,,3,table
117,Carria ge by Air Act,1972,69,,3,table
118,Carria ge by Road Act,2007,41,,3,table
119,Cattle- trespass Act,1871,1,,3,table
120,Censu s Act,1948,37,,3,table
121,Centra l Agricultural University Act,1992,40,,3,table
122,Centra l Board of Revenue Act,1963,54,,3,table
123,Centra l Educational Institutions (Reservation in Admission) Act,2007,5,,3,table
124,Centra l Education Institutions (Reservation in Teacher’s Cadre) Act,2019,10,,3,table
125,Centra l Excise Act,1944,1,,3,table
126,Centra l Goods and Services Tax Act,2017,12,,3,table
127,Centra l Goods and Services Tax (Extension to Jammu and Kashmir) Act,2017,26,,3,table
128,Centra l Industrial Security Force (Amendment and Validation) Act,1999,40,,3,table
129,Centra l Industrial Security Force Act,1968,50,,3,table
130,Centra l Laws (Extension to Arunachal Pradesh) Act,1993,44,,3,table
131,Centra l Laws (Extension to Jammu and Kashmir) Act,1968,25,,3,table
132,Centra l Provinces Court of Wards Act,1899,24,,3,table
133,Centra l Provinces Financial Commissioner's Act,1908,13,,3,table
134,Centra l Provinces Land-revenue Act,1881,18,,3,table
135,Centra l Provinces Tenancy Act,1898,11,,3,table
136,Centra l Road Fund Act,2000,54,,3,table
137,Centra l Reserve Police Force Act,1949,66,,3,table
138,Centra l Sales Tax Act,1956,74,,3,table
139,Centra l Sanskrit Universities Act,2020,5,,3,table
140,Centra l Silk Board Act,1948,61,,3,table
141,Centra l Universities Act,2009,25,,3,table
142,Centra l Vigilance Commission Act,2003,45,,3,table
143,Cess a nd Other Taxes on Minerals (Validation)Act,1992,16,,3,table
144,Chand igarh (Delegation of Powers) Act,1988,2,,3,table
97,Bombay Revenue Jurisdiction Act,1876,10,,3,text
98,Bonded Labour System (Abolition) Act,1976,19,,3,text
102,Britan nia Engineering Company Limited (Mokameh Unit) and the,1978,41,,3,text
105,Buildi ng and Other Construction Workers (Regulation of Employment and Conditions of Service) Act,1996,27,,3,text
112,Calcut ta Metro Railway (Operation and Maintenance) Temporary Provisions Act,1985,10,,3,text
127,Centra l Goods and Services Tax (Extension to Jammu and Kashmir),2017,26,,3,text
147,Charit able Endowments Act,1890,6,,4,table
148,Charit able and Religious Trusts Act,1920,14,,4,table
149,Charte red Accountants Act,1949,38,,4,table
150,"Chief Election Commissioner and Other Election Commissioners (Appointment, Conditions of Service and Term Of Office) Act",2023,49,,4,table
151,Chemi cal Weapons Convention Act,2000,34,,4,table
152,Child and Adolescent Labour (Prohibition and Regulation) Act,1986,61,,4,table
153,Chit F unds Act,1982,40,,4,table
154,Chotta Nagpur Encumbered Estates Act,1876,6,,4,table
155,"Cigare ttes and other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Products, Supply and Distribution) Act",2003,34,,4,table
156,Cinem atograph Act,1952,37,,4,table
157,Cine-W orkers and Cinema Theatre Workers (Regulation of Employment) Act,1981,50,,4,table
158,Cine-W orkers Welfare Fund Act,1981,33,,4,table
159,Citizen ship Act,1955,57,,4,table
160,City o f Bombay Municipal (Supplementary) Act,1888,12,,4,table
161,Civil D efence Act,1968,27,,4,table
162,Civil L iability for Nuclear damage Act,2010,38,,4,table
163,Clinica l Establishment (Representation and Regulation) Act,2010,23,,4,table
164,Co-op erative Societies Act,1912,2,,4,table
165,Coal B earing Areas (Acquisition and Development) Act,1957,20,,4,table
166,Coal I ndia (Regulation of Transfers and Validation) Act,2000,45,,4,table
167,Coal M ines Labour Welfare Fund (Repeal) Act,1986,27,,4,table
168,Coal M ines Provident Fund and Miscellaneous Provisions Act,1948,46,,4,table
169,Coal M ines (Special Provisions) Act,2015,11,,4,table
170,Coasta l Aquaculture Authority Act,2005,24,,4,table
171,Coast Guard Act,1978,30,,4,table
172,Coasti ng Vessels Act,1838,19,,4,table
173,Cocon ut Development Board Act,1979,5,,4,table
174,Code o f Civil Procedure,1908,5,,4,table
175,Code o n Social Security,2020,36,,4,table
176,Code o n Wages Act,2019,29,,4,table
177,Coffee Act,1942,7,,4,table
178,Coinag e Act,2011,11,,4,table
179,Coir In dustry Act,1953,45,,4,table
180,Collec tion of Statistics Act,2009,7,,4,table
181,Comm ercial Documents Evidence Act,1939,30,,4,table
182,Comm ercial Courts Act,2016,4,,4,table
183,Comm issions for Protection of Child’s Rights Act,2006,4,,4,table
184,Comm issions of Inquiry Act,1952,60,,4,table
185,Comm ission of Sati (Prevention) Act,1988,3,,4,table
186,Comm ission for Air Quality Management in National Capital Region and Adjoining Areas Act,2021,29,,4,table
187,Compa nies Act,2013,18,,4,table
188,Compa nies (Donations to National Funds) Act,1951,54,,4,table
189,Compa nies (Profits)Surtax Act,1964,7,,4,table
190,Compa ny Secretaries Act,1980,56,,4,table
191,Compe nsatory Afforestation Fund Act,2016,38,,4,table
145,Chand igarh Disturbed Areas Act,1983,33,,4,text
146,Chapa rmukhSil ghat Railway Line and the Katakhal Lalabazar Railway,1982,36,,4,text
150,Chief Election Commissioner and Other Election Commissioners,2023,49,,4,text
155,Cigare ttes and other Tobacco Products (Prohibition of Advertisement,2003,34,,4,text
157,Cine-W orkers and Cinema Theatre Workers (Regulation of,1981,50,,4,text
186,Comm ission for Air Quality Management in National Capital Region,2021,29,,4,text
194,Conse rvation of Foreign Exchange and Prevention of Smuggling Activities Act,1974,52,,5,table
195,Consu mer Protection Act,2019,35,,5,table
196,Contem pt of Courts Act,1971,70,,5,table
197,Contin gency Fund of India Act,1950,49,,5,table
198,Contra ct Labour (Regulation and Abolition) Act,1970,37,,5,table
199,Contro l of National Highways (Land and Traffic) Act,2003,13,,5,table
200,Copyr ight Act,1957,14,,5,table
201,Cost a nd Works Accountants Act,1959,23,,5,table
202,Court- fees Act,1870,7,,5,table
203,Credit Information Companies (Regulation) Act,2005,30,,5,table
204,Crimin al Procedure (Identification) Act,2022,11,,5,table
205,Custom s Act,1962,52,,5,table
206,Custom s Tariff Act,1975,51,,5,table
207,Cutchi Memons Act,1938,10,,5,table
208,Dadra and Nagar Haveli Act,1961,35,D,5,table
209,Dadra and Nagar Haveli and Daman and Diu (Merger of Union Territories) Act,2019,44,,5,table
210,Defen ce and Internal Security of India Act,1971,42*,,5,table
211,Defen ce of India Act,1962,51*,,5,table
212,Daksh ina Bharat Hindi Prachar Sabha Act,1964,14,,5,table
213,Dalmi a Dadri Cement Limited (Acquisition and Transfer of Undertakings) Act,1981,31,,5,table
214,Dam S afety Act,2021,41,,5,table
215,Damod ar Valley Corporation Act,1948,14,,5,table
216,Dehra Dun Act,1871,21,,5,table
217,Dekkh an Agriculturists Relief Act,1879,17,,5,table
218,Delhi (Urban Areas)Tenants' Relief Act,1961,30,,5,table
219,Delhi and Ajmer-Merwara Land Development Act,1948,66,,5,table
220,Delhi Apartment Ownership Act,1986,58,,5,table
221,Delhi Development Act,1957,61,,5,table
222,Delhi High Court Act,1966,26,,5,table
223,Delhi Land Holdings (Ceiling) Act,1960,24,,5,table
224,Delhi Lands (Restriction on Transfer) Act,1972,30,,5,table
225,Delhi Laws (Special Provisions) Act,2006,22*,,5,table
226,Delhi Motor Vehicles Taxation Act,1962,57,,5,table
227,Delhi Municipal Corporation Act,1957,66,,5,table
228,Delhi Police Act,1978,34,,5,table
229,Delhi Primary Education Act,1960,39,,5,table
230,Delhi Rent Control Act,1958,59,,5,table
231,Delhi Sales Tax Act,1975,43,,5,table
232,Delhi School Education Act,1973,18,,5,table
233,Delhi Sikh Gurdwaras Act,1971,82,,5,table
234,Delhi Special Police Establishment Act,1946,25,,5,table
235,Delhi University Act,1922,8,,5,table
236,Delhi Urban Art Commission Act,1974,1,,5,table
237,Delim itation Act,2002,33,,5,table
238,Delive ry of Books and Newspapers (Public Libraries) Act,1954,27,,5,table
192,Compe tition Act,2003,12,,5,text
193,"Compt roller and Auditor General's (Duties, Powers and Conditions of",1971,56,,5,text
194,Conse rvation of Foreign Exchange and Prevention of Smuggling,1974,52,,5,text
209,Dadra and Nagar Haveli and Daman and Diu (Merger of Union,2019,44,,5,text
213,Dalmi a Dadri Cement Limited (Acquisition and Transfer of,1981,31,,5,text
241,Depart mental Inquiries (Enforcement of Attendance of Witnesses and Production of Documents) Act,1972,18,,6,table
242,Depart mentalisation of Union Accounts (Transfer of Personnel) Act,1976,59,,6,table
243,Depos it Insurance and Credit Guarantee Corporation Act,1961,47,,6,table
244,Depos itories Act,1996,22,,6,table
245,Design s Act,2000,16,,6,table
246,Destru ction of Records Act,1917,5,,6,table
247,Destru ctive Insects and Pests Act,1914,2,,6,table
248,Destru ctive Insects and Pests (Amendment and Validation) Act,1992,12,,6,table
249,Diplom atic and Consular Officers (Oaths and Fees) Act,1948,41,,6,table
250,Diplom atic and Consular Officers (Oaths and Fees) (Extension to Jammu and Kashmir) Act,1973,2,,6,table
251,Diplom atic Relations (Vienna Convention) Act,1972,43,,6,table
252,Direct Tax Vivadse Vishwas Act,2020,3,,6,table
253,Disast er Management Act,2005,53,,6,table
254,Dissol ution of Muslim Marriages Act,1939,08,,6,table
255,Distur bed Areas (Special Courts) Act,1976,77,,6,table
256,Divorc e Act,1869,4,,6,table
257,Dock W orkers (Regulation of Employment) Act,1948,9,,6,table
258,Dock W orkers (Regulation of Employment) (Inapplicability to Major Ports) Act,1997,31,,6,table
259,"Dock W orkers (Safety, Health and Welfare) Act",1986,54,,6,table
260,Dowry Prohibition Act,1961,28,,6,table
261,Dr. Ra jendra Prasad Central Agricultural University Act,2016,32,,6,table
262,Drugs and Cosmetics Act,1940,23,,6,table
263,Drugs and Magic Remedies (Objectionable Advertisements) Act,1954,21,,6,table
264,Durga h Khawaja Saheb Act,1955,36,,6,table
265,Easem ents (Extending Act 5 of1882),1891,8,E,6,table
266,East-P unjab Urban Rent Restriction (Extension to Chandigarh) Act,1974,54,,6,table
267,Econo mic Offences (Inapplicability of Limitation) Act,1974,12,,6,table
268,Electio n Laws (Extension to Sikkim) Act,1976,10,,6,table
269,Electri city Act,2003,36,,6,table
270,Emble ms and Names (Prevention of Improper Use) Act,1950,12,,6,table
271,Emigr ation Act,1983,31,,6,table
272,Emplo yees' Compensation Act,1923,8,,6,table
273,Emplo yees' Provident Funds and Miscellaneous Provisions Act,1952,19,,6,table
274,Emplo yees' State Insurance Act,1948,34,,6,table
275,Emplo yment Exchanges (Compulsory Notification of Vacancies) Act,1959,31,,6,table
276,Emplo yment of Manual Scavengers and Construction of Dry Latrines (Prohibition) Act,1993,46,,6,table
277,Enemy Property Act,1968,34,,6,table
278,Energy Conservation Act,2001,52,,6,table
279,Englis h and Foreign Languages University Act,2007,7,,6,table
280,Emerg ency Risks (Goods) Insurance Act,1971,50*,,6,table
281,Emerg ency Risks (Under-Takings) Insurance Act,1971,51*,,6,table
282,Enviro nment (Protection) Act,1986,29,,6,table
283,Epidem ic Diseases Act,1897,3,,6,table
284,Equal Remuneration Act,1976,25,,6,table
285,Essent ial Commodities Act,1955,10,,6,table
239,Dentis ts Act,1948,16,,6,text
240,Deo E state Act,1886,9,,6,text
241,Depart mental Inquiries (Enforcement of Attendance of Witnesses and,1972,18,,6,text
250,Diplom atic and Consular Officers (Oaths and Fees) (Extension to,1973,2,,6,text
258,Dock W orkers (Regulation of Employment) (Inapplicability to Major,1997,31,,6,text
276,Emplo yment of Manual Scavengers and Construction of Dry Latrines,1993,46,,6,text
288,Essent ial Services Maintenance (Assam) Act,1980,41,,7,table
289,Expen diture-tax Act,1987,35,,7,table
290,Explos ive Substances Act,1908,6,,7,table
291,Explos ives Act,1884,4,,7,table
292,Export -Import Bank of India Act,1981,28,,7,table
293,Export (Quality Control and Inspection) Act,1963,22,,7,table
294,Extend ing Certain Act,1852,14,,7,table
295,Extrad ition Act,1962,34,,7,table
296,Factor ies Act,1948,63,F,7,table
297,Factor ing Act,2012,12,,7,table
298,Family Courts Act,1984,66,,7,table
299,Farida bad Development Corporation Act,1956,90,,7,table
300,Farm L aws Repeal Act,2021,40,,7,table
301,Fatal A ccidents Act,1855,13,,7,table
302,Financ e Commission (Miscellaneous Provisions) Act,1951,33,,7,table
303,Fiscal Responsibility and Budget Management Act,2003,39,,7,table
304,Food C orporations Act,1964,37,,7,table
305,Food S afety and Standards Act,2006,34,,7,table
306,Footw ear Design and Development Institute Act,2017,20,,7,table
307,Foreig n Aircraft (Exemption from Taxes and Duties on Fuel and Lubricants) Act,2002,36,,7,table
308,Foreig n Contribution (Regulation)Act,2010,42,,7,table
309,Foreig n Exchange Management Act,1999,42,,7,table
310,Foreig n Marriage Act,1969,33,,7,table
311,Foreig n Trade (Development and Regulation) Act,1992,22,,7,table
312,Foreig ners Act,1946,31,,7,table
313,Foreig ners Law (Application and Amendment) Act,1962,42,,7,table
314,Forfeit ed Deposits Act,1850,25,,7,table
315,Forme r Secretary of State Service Officers (Conditions of Service) Act,1972,59,,7,table
316,Forwa rd Contracts (Regulation)Act,1952,74,,7,table
317,Fugitiv e Economic Offenders Act,2018,17,,7,table
318,Genera l Clauses Act,1897,10,G,7,table
319,Genera l Insurance Business (Nationalisation) Act,1972,57,,7,table
320,Genev a Conventions Act,1960,6,,7,table
321,Geogr aphical Indications of Goods (Registration and Protection) Act,1999,48,,7,table
322,Gift-T ax Act,1958,18,,7,table
323,"Goa, D aman and Diu (Administration)Act",1962,1,,7,table
324,"Goa, D aman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Act",1965,30,,7,table
325,"Goa, D aman and Diu Mining Concession (Abolition and Declaration as Mining Leases) Act",1987,16,,7,table
326,"Goa, D aman and Diu Reorganisation Act",1987,18,,7,table
327,Gold B onds (Immunities and Exemptions) Act,1993,25,,7,table
328,Goods and Services Tax (Compensation to States) Act,2017,15,,7,table
329,Gover nment Buildings Act,1899,4,,7,table
330,Gover nment of National Capital Territory of Delhi Act,1992,1,,7,table
331,Gover nment of Union Territories Act,1963,20,,7,table
332,Gover nment Savings Banks Act,1873,5,,7,table
333,Gover nment Securities Act,2006,38,,7,table
286,Essent ial Service Maintenance Act,1968,59,,7,text
287,Essent ial Services (Maintenance) Act,1981,40,,7,text
307,Foreig n Aircraft (Exemption from Taxes and Duties on Fuel and,2002,36,,7,text
324,"Goa, D aman and Diu (Extension of the Code of Civil Procedure and the",1965,30,,7,text
325,"Goa, D aman and Diu Mining Concession (Abolition and Declaration as",1987,16,,7,text
336,Guard ians and Wards Act,1890,8,,8,table
337,Haj Co mmittee Act,2002,35,H,8,table
338,Handlo oms (Reservation of Articles for Production) Act,1985,22,,8,table
339,Haryan a and Punjab Agricultural Universities Act,1970,16,,8,table
340,Haryan a and Uttar Pradesh (Alteration of Boundaries) Act,1979,31,,8,table
341,"High C ourt and Bombay (Extension of Jurisdiction to Goa, Daman and Diu) Act",1981,26,,8,table
342,High C ourt at Patna (Establishment of a Permanent Ben chat Ranchi) Act,1976,57,,8,table
343,High C ourt Judges (Conditions of Service) Act,1954,28,,8,table
344,High C ourts (Seals) Act,1950,7,,8,table
345,Himac hal Pradesh and Bilaspur (New State) Act,1954,32,,8,table
346,Hind C ycles Limited and Sen-Raleigh Limited (Nationalisation) Act,1980,70,,8,table
347,Hindi Sahitya Sammelan Act,1962,13,,8,table
348,Hindu Adoptions and Maintenance Act,1956,78,,8,table
349,Hindu Disposition of Property Act,1916,15,,8,table
350,Hindu Gains of Learning Act,1930,30,,8,table
351,Hindu Marriage Act,1955,25,,8,table
352,Hindu Minority and Guardianship Act,1956,32,,8,table
353,Hindu Succession Act,1956,30,,8,table
354,Hoogh ly Docking and Engineering Company Limited (Acquisition and Transfer of Undertakings) Act,1984,55,,8,table
355,Hotel- Receipts Tax Act,1980,54,,8,table
356,Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome (Prevention and Control) Act,2017,16,,8,table
357,1Illega l Migrants (Determination by Tribunals) Act,1983,39,,8,table
358,Immig ration (Carriers’ Liability) Act,2000,52,,8,table
359,Immig rants (Expulsion from Assam) Act,1950,10,,8,table
360,Immor al Traffic (Prevention) Act,1956,104,,8,table
361,Improv ements in Towns,1850,26,,8,table
362,Inchek Tyres Limited and National Rubber Manufacturers Limited (Nationalisation) Act,1984,17,,8,table
363,Incom e-tax Act,1961,43,,8,table
364,Indece nt Representation of Women (Prohibition) Act,1986,60,,8,table
365,India I nternational Arbitration Centre Act,2019,17,,8,table
366,Indian Antarctic Act,2022,13,,8,table
367,Indian Bills of Lading Act,1856,9,,8,table
368,Indian Carriage of Goods by Sea Act,1925,26,,8,table
369,Indian Christian Marriage Act,1872,15,,8,table
370,Indian Council of World Affairs Act,2001,29,,8,table
371,Indian Contract Act,1872,9,,8,table
372,Indian Easements Act,1882,5,,8,table
373,Indian Forest Act,1927,16,,8,table
374,Indian Institutes of Information Technology Act,2014,30,,8,table
375,Indian Institutes of Information Technology (Public-Private Partnership) Act,2017,23,,8,table
376,Indian Institute of Management Act,2017,33,,8,table
377,Indian Institute of Petroleum and Energy Act,2018,3,,8,table
378,Indian Maritime University Act,2008,22,,8,table
334,"Gover nors (Emoluments, Allowances and Privileges) Act",1982,43,,8,text
335,Gram Nyayalayas Act,2009,4,,8,text
341,"High C ourt and Bombay (Extension of Jurisdiction to Goa, Daman and",1981,26,,8,text
342,High C ourt at Patna (Establishment of a Permanent Ben chat Ranchi),1976,57,,8,text
354,Hoogh ly Docking and Engineering Company Limited (Acquisition and,1984,55,,8,text
356,Human Immunodeficiency Virus and Acquired Immune Deficiency,2017,16,,8,text
362,Inchek Tyres Limited and National Rubber Manufacturers Limited,1984,17,,8,text
375,Indian Institutes of Information Technology (Public-Private,2017,23,,8,text
381,Indian Nursing Council Act,1947,48,,9,table
382,Indian Partnership Act,1932,9,,9,table
383,Indian Ports Act,1908,15,,9,table
384,Indian Railway Board Act,1905,4,,9,table
385,Indian Red Cross Society Act,1920,15,,9,table
386,Indian Reserve Forces Act,1888,4,,9,table
387,Indian Soldiers (Litigation) Act,1925,4,,9,table
388,Indian Stamp Act,1899,2,,9,table
389,Indian Statistical Institute Act,1959,57,,9,table
390,Indian Succession Act,1925,39,,9,table
391,Indian Tolls Act,1851,8,,9,table
393,Indian Tolls (Army and Air Force) Act,1901,2,,9,table
394,Indian Tramways Act,1886,11,,9,table
395,Indian Treasure-trove Act,1878,6,,9,table
396,Indian Trusts Act,1882,2,,9,table
397,Indian Veterinary Council Act,1984,52,,9,table
398,Indira Gandhi National Open University Act,1985,50,,9,table
399,Indira Gandhi National Tribal University Act,2007,52,,9,table
400,Indo-T ibetan Border Police Force Act,1992,35,,9,table
401,Indust rial Development Bank (Transfer of Undertaking and Repeal) Act,2003,53,,9,table
402,Indust rial Disputes Act,1947,14,,9,table
403,Indust rial Disputes (Banking and Insurance Companies) Act,1949,54,,9,table
404,Indust rial Employment (Standing Orders) Act,1946,20,,9,table
405,Indust rial Finance Corporation (Transfer of Undertaking and Repeal) Act,1993,23,,9,table
406,Indust rial Reconstruction Bank (Transfer of Undertaking and Repeal) Act,1997,07,,9,table
407,Indust ries (Development and Regulation) Act,1951,65,,9,table
408,"Infant Milk Substitutes, Feeding Bottles and Infant Foods (Regulation of Production, Supply and Distribution) Act",1992,41,,9,table
409,Inflam mable Substances Act,1952,20,,9,table
410,Inform ation Technology Act,2000,21,,9,table
411,Inherit ance Act,1839,30*,,9,table
412,Inland Waterways Authority of India Act,1985,82,,9,table
413,Inland Vessels Act,2021,24,,9,table
414,Insect icides Act,1968,46,,9,table
415,Insolv ency and Bankruptcy Code,2016,31,,9,table
416,Institu te of Teaching and Research in Ayurveda Act,2020,16,,9,table
417,Institu tes of Technology Act,1961,59,,9,table
418,Insura nce Act,1938,4,,9,table
419,Insura nce Regulatory and Development Authority Act,1999,41,,9,table
420,Integr ated Goods and Services Tax Act,2017,13,,9,table
421,Integr ated Goods and Services Tax (Extension to Jammu and Kashmir) Act,2017,27,,9,table
422,Intelli gence Organisations (Restriction on Rights) Act,1985,58,,9,table
423,Interes t Act,1978,14,,9,table
424,Interes t-tax Act,1974,45,,9,table
379,Indian Museum Act,1910,10,,9,text
380,Indian Naval Armament Act,1923,7,,9,text
401,Indust rial Development Bank (Transfer of Undertaking and Repeal),2003,53,,9,text
405,Indust rial Finance Corporation (Transfer of Undertaking and Repeal),1993,23,,9,text
406,Indust rial Reconstruction Bank (Transfer of Undertaking and Repeal),1997,07,,9,text
408,"Infant Milk Substitutes, Feeding Bottles and Infant Foods (Regulation of Production, Supply and Distribution) Act",1992,41,,9,text
421,Integr ated Goods and Services Tax (Extension to Jammu and,2017,27,,9,text
427,Intern ational Financial Services Centres Authority Act,2019,50,,10,table
428,Intern ational Monetary Fund and Bank Act,1945,47,,10,table
429,"Inter-S ervice Organisations (Command, Control and Discipline) Act",2023,28,,10,table
430,Inter-S tate Corporation Act,1957,38,,10,table
